state,VW-Passat-B5-001,parked,75.00,12.39
state,VW-Passat-B5-001,parked,75.00,12.41
state,VW-Passat-B5-001,parked,75.00,12.38
state,VW-Passat-B5-001,parked,75.00,12.44
state,VW-Passat-B5-001,parked,75.00,12.44
state,VW-Passat-B5-001,parked,75.00,12.43
state,VW-Passat-B5-001,parked,75.00,12.41
state,VW-Passat-B5-001,parked,75.00,12.38
state,VW-Passat-B5-001,parked,75.00,12.39
error,VW-Passat-B5-001,E_001,1
state,VW-Passat-B5-001,parked,75.00,12.39
state,VW-Passat-B5-001,parked,75.00,12.40
error,VW-Passat-B5-001,E_001,1
state,VW-Passat-B5-001,parked,75.00,12.42
state,VW-Passat-B5-001,parked,75.00,12.37
state,VW-Passat-B5-001,parked,75.00,12.44
state,VW-Passat-B5-001,parked,75.00,12.42
state,VW-Passat-B5-001,parked,75.00,12.43
state,VW-Passat-B5-001,parked,75.00,12.37
state,VW-Passat-B5-001,parked,75.00,12.36
state,VW-Passat-B5-001,parked,75.00,12.41
state,VW-Passat-B5-001,parked,75.00,12.43
state,VW-Passat-B5-001,driving,75.00,14.16
state,VW-Passat-B5-001,driving,75.00,14.18
state,VW-Passat-B5-001,driving,74.99,14.27
state,VW-Passat-B5-001,driving,74.99,14.21
state,VW-Passat-B5-001,driving,74.99,14.26
trip,VW-Passat-B5-001,TRIP_9621,0.0,0.0100,2.5,0.0
state,VW-Passat-B5-001,driving,74.99,14.20
state,VW-Passat-B5-001,driving,74.99,14.18
state,VW-Passat-B5-001,driving,74.98,14.22
state,VW-Passat-B5-001,driving,74.98,14.26
state,VW-Passat-B5-001,driving,74.98,14.21
trip,VW-Passat-B5-001,TRIP_9621,0.0,0.0200,2.5,0.0
state,VW-Passat-B5-001,driving,74.98,14.19
state,VW-Passat-B5-001,driving,74.98,14.17
state,VW-Passat-B5-001,driving,74.97,14.10
state,VW-Passat-B5-001,driving,74.97,14.22
state,VW-Passat-B5-001,driving,74.97,14.28
trip,VW-Passat-B5-001,TRIP_9621,1.0,0.0300,2.5,0.0
state,VW-Passat-B5-001,driving,74.97,14.27
state,VW-Passat-B5-001,driving,74.97,14.15
state,VW-Passat-B5-001,driving,74.96,14.23
state,VW-Passat-B5-001,driving,74.96,14.29
state,VW-Passat-B5-001,driving,74.96,14.23
trip,VW-Passat-B5-001,TRIP_9621,2.0,0.0400,2.5,0.0
state,VW-Passat-B5-001,driving,74.96,14.21
state,VW-Passat-B5-001,driving,74.96,14.16
state,VW-Passat-B5-001,driving,74.95,14.19
state,VW-Passat-B5-001,driving,74.95,14.29
state,VW-Passat-B5-001,driving,74.95,14.15
trip,VW-Passat-B5-001,TRIP_9621,2.0,0.0500,2.5,0.0
state,VW-Passat-B5-001,driving,74.95,14.20
state,VW-Passat-B5-001,driving,74.95,14.11
state,VW-Passat-B5-001,driving,74.94,14.12
state,VW-Passat-B5-001,driving,74.94,14.28
trip,VW-Passat-B5-001,TRIP_9621,3.0,0.0600,2.5,0.0
state,VW-Passat-B5-001,driving,74.94,14.14
state,VW-Passat-B5-001,driving,74.94,14.18
state,VW-Passat-B5-001,driving,74.93,14.24
state,VW-Passat-B5-001,driving,74.93,14.19
trip,VW-Passat-B5-001,TRIP_9621,3.0,0.0700,2.5,0.0
state,VW-Passat-B5-001,driving,74.93,14.26
state,VW-Passat-B5-001,driving,74.93,14.26
state,VW-Passat-B5-001,driving,74.92,14.10
state,VW-Passat-B5-001,driving,74.92,14.14
state,VW-Passat-B5-001,driving,74.92,14.24
trip,VW-Passat-B5-001,TRIP_9621,4.0,0.0800,2.5,0.0
state,VW-Passat-B5-001,driving,74.92,14.22
state,VW-Passat-B5-001,driving,74.92,14.27
state,VW-Passat-B5-001,driving,74.91,14.24
state,VW-Passat-B5-001,driving,74.91,14.26
state,VW-Passat-B5-001,driving,74.91,14.26
trip,VW-Passat-B5-001,TRIP_9621,4.0,0.0900,2.5,0.0
state,VW-Passat-B5-001,driving,74.91,14.14
state,VW-Passat-B5-001,driving,74.91,14.24
state,VW-Passat-B5-001,driving,74.90,14.15